GeographyCode,LC6102NI0001,LC6102NI0002,LC6102NI0003,LC6102NI0004,LC6102NI0005,LC6102NI0006,LC6102NI0007,LC6102NI0008,LC6102NI0009,LC6102NI0010,LC6102NI0011,LC6102NI0012,LC6102NI0013,LC6102NI0014,LC6102NI0015,LC6102NI0016,LC6102NI0017,LC6102NI0018,LC6102NI0019,LC6102NI0020,LC6102NI0021,LC6102NI0022,LC6102NI0023,LC6102NI0024,LC6102NI0025,LC6102NI0026,LC6102NI0027
N00000088,74,3,13,13,11,5,4,25,0,48,3,10,10,7,3,3,12,0,26,0,3,3,4,2,1,13,0
N00000089,236,7,22,23,43,24,20,89,8,155,2,18,13,33,16,8,57,8,81,5,4,10,10,8,12,32,0
N00000090,197,7,9,27,36,11,23,78,6,129,4,6,20,30,5,16,45,3,68,3,3,7,6,6,7,33,3
N00000091,243,10,28,21,59,16,25,78,6,164,2,20,15,45,11,15,53,3,79,8,8,6,14,5,10,25,3
N00000092,231,20,20,17,55,22,36,57,4,118,7,8,10,31,18,15,28,1,113,13,12,7,24,4,21,29,3
N00000093,186,8,14,16,47,10,17,67,7,97,5,6,8,31,4,8,28,7,89,3,8,8,16,6,9,39,0
N00000094,254,10,20,25,46,10,33,98,12,144,4,13,14,31,7,19,48,8,110,6,7,11,15,3,14,50,4
N00000095,235,9,22,34,48,13,30,77,2,124,4,12,17,25,8,14,43,1,111,5,10,17,23,5,16,34,1
N00000096,245,15,27,25,46,10,32,77,13,121,4,14,10,35,6,17,30,5,124,11,13,15,11,4,15,47,8
N00000097,467,4,42,39,116,52,31,161,22,358,2,34,26,95,42,25,115,19,109,2,8,13,21,10,6,46,3
N00000098,698,14,77,33,137,64,75,282,16,540,12,52,22,114,52,59,217,12,158,2,25,11,23,12,16,65,4
N00000099,99,0,2,7,35,9,10,30,6,63,0,1,5,29,7,6,12,3,36,0,1,2,6,2,4,18,3
N00000100,164,3,21,8,35,16,16,60,5,101,2,11,6,26,11,10,31,4,63,1,10,2,9,5,6,29,1
N00000101,112,2,14,7,29,10,6,42,2,89,2,10,7,25,5,5,33,2,23,0,4,0,4,5,1,9,0
N00000102,159,0,14,9,40,12,15,65,4,91,0,7,6,30,5,10,32,1,68,0,7,3,10,7,5,33,3
N00000103,253,5,33,17,55,33,23,79,8,198,3,28,13,46,26,15,60,7,55,2,5,4,9,7,8,19,1
N00000104,163,4,14,15,43,19,13,51,4,121,4,12,9,29,13,11,40,3,42,0,2,6,14,6,2,11,1
N00000105,163,3,28,14,41,13,19,37,8,100,2,18,9,30,8,13,15,5,63,1,10,5,11,5,6,22,3
N00000106,67,2,5,5,19,4,10,18,4,45,1,5,2,13,3,7,12,2,22,1,0,3,6,1,3,6,2
N00000107,93,1,9,9,32,9,8,24,1,67,0,6,9,26,3,8,15,0,26,1,3,0,6,6,0,9,1
