GeographyCode,KS207NI0001,KS207NI0002,KS207NI0003,KS207NI0004,KS207NI0005,KS207NI0006,KS207NI0007,KS207NI0008,KS207NI0009,KS207NI0010,KS207NI0011,KS207NI0012,KS207NI0013,KS207NI0014,KS207NI0015,KS207NI0016,KS207NI0017,KS207NI0018,KS207NI0019,KS207NI0020,KS207NI0021,KS207NI0022,KS207NI0023,KS207NI0024,KS207NI0025,KS207NI0026,KS207NI0027
95BB22,2911,2872,9,2,0,2,0,3,0,4,3,0,0,16,98.66,0.31,0.07,0,0.07,0,0.10,0,0.14,0.10,0,0,0.55
95BB23,2941,2882,19,7,0,3,1,2,1,3,1,0,0,22,97.99,0.65,0.24,0,0.10,0.03,0.07,0.03,0.10,0.03,0,0,0.75
95CC01,2462,2281,53,74,17,0,4,8,0,11,2,0,0,12,92.65,2.15,3.01,0.69,0,0.16,0.32,0,0.45,0.08,0,0,0.49
95CC02,2613,2564,0,9,27,4,0,0,2,1,0,0,1,5,98.12,0,0.34,1.03,0.15,0,0,0.08,0.04,0,0,0.04,0.19
95CC03,2649,2278,80,130,18,10,5,12,0,33,16,12,1,54,85.99,3.02,4.91,0.68,0.38,0.19,0.45,0,1.25,0.60,0.45,0.04,2.04
95CC04,2348,2306,9,10,8,1,0,0,0,12,0,0,0,2,98.21,0.38,0.43,0.34,0.04,0,0,0,0.51,0,0,0,0.09
95CC05,2655,2548,22,43,0,0,1,0,0,3,7,4,4,23,95.97,0.83,1.62,0,0,0.04,0,0,0.11,0.26,0.15,0.15,0.87
95CC06,2648,2541,27,28,6,1,4,2,0,14,6,0,1,18,95.96,1.02,1.06,0.23,0.04,0.15,0.08,0,0.53,0.23,0,0.04,0.68
95CC07,3309,3267,9,23,0,0,0,0,0,3,0,0,0,7,98.73,0.27,0.70,0,0,0,0,0,0.09,0,0,0,0.21
95CC08,2446,2319,18,50,13,2,1,0,0,16,11,6,2,8,94.81,0.74,2.04,0.53,0.08,0.04,0,0,0.65,0.45,0.25,0.08,0.33
95CC09,3220,3158,32,13,0,0,0,1,2,1,0,1,6,6,98.07,0.99,0.40,0,0,0,0.03,0.06,0.03,0,0.03,0.19,0.19
95CC10,2505,2459,8,10,0,0,3,0,0,2,4,0,7,12,98.16,0.32,0.40,0,0,0.12,0,0,0.08,0.16,0,0.28,0.48
95CC11,1732,1634,21,38,4,0,10,0,0,16,1,1,0,7,94.34,1.21,2.19,0.23,0,0.58,0,0,0.92,0.06,0.06,0,0.40
95CC12,2650,2627,7,4,1,0,0,0,0,0,0,0,0,11,99.13,0.26,0.15,0.04,0,0,0,0,0,0,0,0,0.42
95CC13,2365,2334,4,3,1,0,0,0,0,7,0,0,9,7,98.69,0.17,0.13,0.04,0,0,0,0,0.30,0,0,0.38,0.30
95CC14,2892,2862,12,6,0,2,0,0,0,2,2,0,1,5,98.96,0.41,0.21,0,0.07,0,0,0,0.07,0.07,0,0.03,0.17
