GeographyCode,KS405NI0001,KS405NI0002,KS405NI0003,KS405NI0004,KS405NI0005,KS405NI0006,KS405NI0007,KS405NI0008,KS405NI0009,KS405NI0010,KS405NI0011,KS405NI0012
95NN03,1133,219,447,363,83,21,1518,19.33,39.45,32.04,7.33,1.85
95NN04,1175,422,530,183,32,8,1024,35.91,45.11,15.57,2.72,0.68
95NN05,1075,249,514,244,50,18,1234,23.16,47.81,22.70,4.65,1.67
95NN06,1237,247,535,318,105,32,1623,19.97,43.25,25.71,8.49,2.59
95NN07,1246,348,555,282,42,19,1325,27.93,44.54,22.63,3.37,1.52
95NN08,1196,152,423,433,126,62,1936,12.71,35.37,36.20,10.54,5.18
95NN09,1092,107,317,437,154,77,1997,9.80,29.03,40.02,14.10,7.05
95NN10,1290,211,597,374,75,33,1714,16.36,46.28,28.99,5.81,2.56
95NN11,1297,128,431,518,144,76,2223,9.87,33.23,39.94,11.10,5.86
95NN12,1128,190,479,351,80,28,1540,16.84,42.46,31.12,7.09,2.48
95NN13,1064,27,333,516,128,60,2018,2.54,31.30,48.50,12.03,5.64
95NN14,1205,177,504,378,103,43,1757,14.69,41.83,31.37,8.55,3.57
95NN15,1230,317,536,304,57,16,1385,25.77,43.58,24.72,4.63,1.30
95NN16,1128,60,344,469,161,94,2171,5.32,30.50,41.58,14.27,8.33
95NN17,928,262,413,186,45,22,1020,28.23,44.50,20.04,4.85,2.37
95NN18,1023,205,423,291,68,36,1361,20.04,41.35,28.45,6.65,3.52
95NN19,1336,134,501,511,140,50,2159,10.03,37.50,38.25,10.48,3.74
95NN20,1073,112,333,420,135,73,1895,10.44,31.03,39.14,12.58,6.80
95NN21,1151,277,514,265,71,24,1363,24.07,44.66,23.02,6.17,2.09
