GeographyCode,KS211NI0001,KS211NI0002,KS211NI0003,KS211NI0004,KS211NI0005,KS211NI0006,KS211NI0007,KS211NI0008,KS211NI0009,KS211NI0010,KS211NI0011,KS211NI0012,KS211NI0013,KS211NI0014,KS211NI0015,KS211NI0016,KS211NI0017
95JJ04,3111,472,1261,772,18,129,28,284,147,15.17,40.53,24.82,0.58,4.15,0.90,9.13,4.73
95JJ05,1835,438,421,410,31,124,7,229,175,23.87,22.94,22.34,1.69,6.76,0.38,12.48,9.54
95JJ06,2472,909,368,563,12,107,20,253,240,36.77,14.89,22.78,0.49,4.33,0.81,10.23,9.71
95JJ07,2665,525,632,829,36,136,19,274,214,19.70,23.71,31.11,1.35,5.10,0.71,10.28,8.03
95JJ08,3276,688,963,710,53,242,25,410,185,21.00,29.40,21.67,1.62,7.39,0.76,12.52,5.65
95JJ09,1990,82,917,500,25,130,13,189,134,4.12,46.08,25.13,1.26,6.53,0.65,9.50,6.73
95JJ10,2795,1269,732,434,3,91,12,115,139,45.40,26.19,15.53,0.11,3.26,0.43,4.11,4.97
95JJ11,3770,714,1036,926,73,205,28,498,290,18.94,27.48,24.56,1.94,5.44,0.74,13.21,7.69
95JJ12,2724,1737,427,182,4,85,9,145,135,63.77,15.68,6.68,0.15,3.12,0.33,5.32,4.96
95JJ13,3895,627,1169,901,58,392,49,492,207,16.10,30.01,23.13,1.49,10.06,1.26,12.63,5.31
95JJ14,2325,218,1017,557,21,181,11,215,105,9.38,43.74,23.96,0.90,7.78,0.47,9.25,4.52
95JJ15,1879,501,433,357,39,142,24,229,154,26.66,23.04,19.00,2.08,7.56,1.28,12.19,8.20
95JJ16,1799,507,374,330,36,91,22,255,184,28.18,20.79,18.34,2.00,5.06,1.22,14.17,10.23
95JJ17,2455,1152,695,233,10,100,13,156,96,46.92,28.31,9.49,0.41,4.07,0.53,6.35,3.91
